household_id,person_number,employment_status2code,lab_salary_raw,salary,salary_status,employment_status,salary_flag
383103200000008701,01,3,888888888,,Not applicable (not employed),Not economically active,
383103200000008701,02,1,2500,2500,Reported,Employed,
383103200000008701,03,2,888888888,,Not applicable (not employed),Unemployed,
383103200000008701,04,2,888888888,,Not applicable (not employed),Unemployed,
383103200000008701,05,2,888888888,,Not applicable (not employed),Unemployed,
383103200000019501,01,1,3500,3500,Reported,Employed,
383103200000019501,02,3,888888888,,Not applicable (not employed),Not economically active,
383103200000023101,01,1,6958,6958,Reported,Employed,
383103200000023101,02,1,3000,3000,Reported,Employed,
383103200000023101,03,3,888888888,,Not applicable (not employed),Not economically active,
383103200000023101,04,3,888888888,,Not applicable (not employed),Not economically active,
383103200000026701,01,1,18000,18000,Reported,Employed,
383103200000026701,02,1,17500,17500,Reported,Employed,
383103200000030301,01,1,5500,5500,Reported,Employed,
383103200000033901,01,1,2500,2500,Reported,Employed,
383103200000033901,02,2,888888888,,Not applicable (not employed),Unemployed,
383103400000007001,01,1,2000,2000,Reported,Employed,
383103400000007001,03,3,888888888,,Not applicable (not employed),Not economically active,
383103400000016901,01,3,888888888,,Not applicable (not employed),Not economically active,
383103400000016901,02,3,888888888,,Not applicable (not employed),Not economically active,
383103400000020201,01,1,960,960,Reported,Employed,
383103400000023501,01,2,888888888,,Not applicable (not employed),Unemployed,
383103400000023501,02,3,888888888,,Not applicable (not employed),Not economically active,
383103400000023501,03,3,888888888,,Not applicable (not employed),Not economically active,
383103550000002101,01,1,8000,8000,Reported,Employed,
383103550000002101,02,3,888888888,,Not applicable (not employed),Not economically active,
383103550000002101,03,1,16000,16000,Reported,Employed,
383103550000004201,01,1,800,800,Reported,Employed,
383103550000004201,02,3,888888888,,Not applicable (not employed),Not economically active,
383103550000006301,02,1,5500,5500,Reported,Employed,
383103550000006301,03,3,888888888,,Not applicable (not employed),Not economically active,
383103550000008401,01,2,888888888,,Not applicable (not employed),Unemployed,
383103550000008401,02,3,888888888,,Not applicable (not employed),Not economically active,
383103550000008401,03,3,888888888,,Not applicable (not employed),Not economically active,
383103550000012601,01,3,888888888,,Not applicable (not employed),Not economically active,
383103550000012601,02,1,2000,2000,Reported,Employed,
383103550000014701,01,2,888888888,,Not applicable (not employed),Unemployed,
383103550000016801,01,1,9000,9000,Reported,Employed,
383103550000016801,02,3,888888888,,Not applicable (not employed),Not economically active,
383103670000007101,01,1,360,360,Reported,Employed,
383103670000007101,02,1,113,113,Reported,Employed,
383103670000012101,01,1,13352,13352,Reported,Employed,
383103670000012101,02,3,888888888,,Not applicable (not employed),Not economically active,
383103670000012101,03,3,888888888,,Not applicable (not employed),Not economically active,
383103670000012101,04,1,5000,5000,Reported,Employed,
383103670000012101,05,3,888888888,,Not applicable (not employed),Not economically active,
383103670000014601,02,1,360,360,Reported,Employed,
383103670000014601,03,1,6500,6500,Reported,Employed,
383103670000017101,01,3,888888888,,Not applicable (not employed),Not economically active,
383103670000017101,02,3,888888888,,Not applicable (not employed),Not economically active,
383103670000017101,03,3,888888888,,Not applicable (not employed),Not economically active,
383103670000017101,04,3,888888888,,Not applicable (not employed),Not economically active,
383103670000019601,01,1,5000,5000,Reported,Employed,
383103670000019601,02,3,888888888,,Not applicable (not employed),Not economically active,
383103670000022101,01,1,13800,13800,Reported,Employed,
383103670000022101,02,1,30000,30000,Reported,Employed,
383103670000022101,03,3,888888888,,Not applicable (not employed),Not economically active,
383103670000022101,04,3,888888888,,Not applicable (not employed),Not economically active,
383103670000024601,01,3,888888888,,Not applicable (not employed),Not economically active,
383103920000001301,01,3,888888888,,Not applicable (not employed),Not economically active,
383103920000001301,02,3,888888888,,Not applicable (not employed),Not economically active,
383103920000005301,01,1,8000,8000,Reported,Employed,
383103920000005301,02,1,8000,8000,Reported,Employed,
383103920000009301,01,1,10000,10000,Reported,Employed,
383103920000009301,02,3,888888888,,Not applicable (not employed),Not economically active,
383103920000009301,03,3,888888888,,Not applicable (not employed),Not economically active,
383103920000009301,04,3,888888888,,Not applicable (not employed),Not economically active,
383103920000009301,05,3,888888888,,Not applicable (not employed),Not economically active,
383103920000013301,01,2,888888888,,Not applicable (not employed),Unemployed,
383103920000013301,02,2,888888888,,Not applicable (not employed),Unemployed,
383103920000013301,03,3,888888888,,Not applicable (not employed),Not economically active,
383103920000013301,04,3,888888888,,Not applicable (not employed),Not economically active,
383103920000021301,01,1,1500,1500,Reported,Employed,
383103920000029301,01,1,8000,8000,Reported,Employed,
383103920000029301,02,1,1800,1800,Reported,Employed,
383103920000033301,03,1,800,800,Reported,Employed,
383103920000033301,04,2,888888888,,Not applicable (not employed),Unemployed,
383103940000009101,01,3,888888888,,Not applicable (not employed),Not economically active,
383103940000009101,02,2,888888888,,Not applicable (not employed),Unemployed,
383103940000013101,01,1,6000,6000,Reported,Employed,
383103940000013101,02,1,7000,7000,Reported,Employed,
383103940000021101,01,1,3200,3200,Reported,Employed,
383103940000029101,02,3,888888888,,Not applicable (not employed),Not economically active,
383103940000029101,03,3,888888888,,Not applicable (not employed),Not economically active,
383104230000002101,01,3,888888888,,Not applicable (not employed),Not economically active,
383104230000002101,03,2,888888888,,Not applicable (not employed),Unemployed,
383104230000002101,04,1,900,900,Reported,Employed,
383104230000004501,01,2,888888888,,Not applicable (not employed),Unemployed,
383104230000004501,02,3,888888888,,Not applicable (not employed),Not economically active,
383104230000006901,01,1,11000,11000,Reported,Employed,
383104230000006901,02,2,888888888,,Not applicable (not employed),Unemployed,
383104230000011701,01,1,9000,9000,Reported,Employed,
383104230000011701,02,1,15000,15000,Reported,Employed,
383104230000011701,03,3,888888888,,Not applicable (not employed),Not economically active,
383104230000014101,01,3,888888888,,Not applicable (not employed),Not economically active,
383104230000014101,03,2,888888888,,Not applicable (not employed),Unemployed,
383104230000016501,01,1,1200,1200,Reported,Employed,
383104230000016501,02,3,888888888,,Not applicable (not employed),Not economically active,
383104230000016501,03,2,888888888,,Not applicable (not employed),Unemployed,
383104230000016501,04,1,3500,3500,Reported,Employed,
383104230000016501,05,1,4000,4000,Reported,Employed,
383104230000016501,06,3,888888888,,Not applicable (not employed),Not economically active,
383104230000018901,01,2,888888888,,Not applicable (not employed),Unemployed,
383104230000018901,02,1,2000,2000,Reported,Employed,
383104230000018901,03,2,888888888,,Not applicable (not employed),Unemployed,
383104290000000101,01,1,736,736,Reported,Employed,
383104290000000101,02,3,888888888,,Not applicable (not employed),Not economically active,
383104290000000101,03,1,736,736,Reported,Employed,
383104290000002101,01,1,6000,6000,Reported,Employed,
383104290000002101,02,1,3900,3900,Reported,Employed,
383104290000002101,03,3,888888888,,Not applicable (not employed),Not economically active,
383104290000004101,01,3,888888888,,Not applicable (not employed),Not economically active,
383104290000004101,02,2,888888888,,Not applicable (not employed),Unemployed,
383104290000004101,03,2,888888888,,Not applicable (not employed),Unemployed,
383104290000012101,02,1,500,500,Reported,Employed,
383104290000012101,03,2,888888888,,Not applicable (not employed),Unemployed,
383104290000012101,04,3,888888888,,Not applicable (not employed),Not economically active,
383104290000012101,05,2,888888888,,Not applicable (not employed),Unemployed,
383104290000014101,01,3,888888888,,Not applicable (not employed),Not economically active,
383104290000014101,02,2,888888888,,Not applicable (not employed),Unemployed,
383104290000014101,03,3,888888888,,Not applicable (not employed),Not economically active,
383203230000003401,01,1,2200,2200,Reported,Employed,
383203230000010001,01,1,888888888,,Non-response (employed),Employed,
383203230000010001,02,1,2000,2000,Reported,Employed,
